ssr_weight,production_per_person_weight,spearman_country_rank_vs_50_50,margin_min_category1_minus_max_category2,margin_min_category2_minus_max_category3,margin_min_flexible1_minus_max_category3,margin_min_category1_minus_max_flexible2,all_category_constraints_pass
0.9,0.09999999999999998,0.9498275729038571,0.12241379310344835,-0.7517241379310345,0.14137931034482742,-0.0620689655172415,False
0.91,0.08999999999999997,0.9453776896857554,0.12396551724137927,-0.7593103448275862,0.13586206896551722,-0.06275862068965521,False
0.92,0.07999999999999996,0.9431527480767046,0.12551724137931042,-0.766896551724138,0.1303448275862068,-0.06344827586206891,False
0.93,0.06999999999999995,0.9395928415022229,0.12706896551724123,-0.7744827586206896,0.1248275862068966,-0.06413793103448295,False
0.94,0.06000000000000005,0.9378128882149821,0.12862068965517248,-0.7820689655172413,0.11931034482758629,-0.06482758620689655,False
0.95,0.050000000000000044,0.9378128882149821,0.1301724137931033,-0.789655172413793,0.11379310344827598,-0.06551724137931036,False
0.96,0.040000000000000036,0.9360329349277412,0.13172413793103455,-0.7972413793103449,0.10827586206896556,-0.06620689655172418,False
0.97,0.030000000000000027,0.9360329349277412,0.13327586206896536,-0.8048275862068964,0.10275862068965524,-0.066896551724138,False
0.98,0.020000000000000018,0.9360329349277412,0.1348275862068966,-0.8124137931034483,0.09724137931034471,-0.06758620689655159,False
0.99,0.010000000000000009,0.9360329349277412,0.13637931034482742,-0.8199999999999998,0.09172413793103462,-0.06827586206896563,False
1.0,0.0,0.9342383500586638,0.13793103448275856,-0.8275862068965517,0.08620689655172409,-0.06896551724137934,False
