iso3,country,year,legacy_category,capacity_v2_rank_50_50,capacity_v2_rank_legacy_56_44,capacity_v2_minmax_50_50,ssr_percentile_rank,production_per_person_percentile_rank,arable_land_hectares_per_person,electricity_access_pct,female_agricultural_employment_pct,fertilizer_consumption_kg_per_hectare_arable_land,rural_population_growth_pct,rural_population_pct
DEU,Germany,2021,category_2,0.706896551724138,0.700811359026369,0.288078338355787,0.655172413793103,0.758620689655172,0.140126797804098,100,0.886412239615511,130.141019042717,-0.838943865916312,18.3674129346066
EGY,"Egypt, Arab Rep.",2010,category_3,0.224137931034483,0.209939148073022,0.123127082712425,0.103448275862069,0.344827586206897,0.0322099385721829,99.4,42.2479655128481,473.372781065089,1.97511694959621,57.0942824479846
EGY,"Egypt, Arab Rep.",2011,category_3,0.275862068965517,0.259634888438134,0.139275205503726,0.137931034482759,0.413793103448276,0.0308256197653874,99.4,42.7933599498574,503.561253561254,2.17852232111006,57.1365831529823
EGY,"Egypt, Arab Rep.",2012,category_3,0.293103448275862,0.278904665314402,0.133476146020888,0.172413793103448,0.413793103448276,0.0303667840580631,99.7,37.0604931127169,462.990455991516,2.33496805190423,57.1881485861475
EGY,"Egypt, Arab Rep.",2013,category_3,0.258620689655172,0.240365111561866,0.144823192968503,0.103448275862069,0.413793103448276,0.0284052142691042,99.9,42.284082026848,536.748930010303,2.41086498363961,57.2485722811249
EGY,"Egypt, Arab Rep.",2014,category_3,0.258620689655172,0.244421906693712,0.168382659826598,0.137931034482759,0.379310344827586,0.0270709159997225,99.8,42.6478655572906,546.968210621205,2.39667621107092,57.3174477715592
EGY,"Egypt, Arab Rep.",2015,category_3,0.241379310344828,0.225152129817444,0.159067216734033,0.103448275862069,0.379310344827586,0.0287746343672505,99.3,39.5982546018059,569.459171853531,2.23303829698743,57.3943685910952
EGY,"Egypt, Arab Rep.",2016,category_3,0.241379310344828,0.22920892494929,0.112138177353759,0.137931034482759,0.344827586206897,0.0274167609650131,100,38.3622454557368,568.042074872898,2.18190405985057,57.4789282733775
EGY,"Egypt, Arab Rep.",2017,category_3,0.206896551724138,0.198782961460446,0.120543353738141,0.137931034482759,0.275862068965517,0.0280817697822396,100,36.9669048495134,574.181976125568,2.12418278512357,57.5513991312821
EGY,"Egypt, Arab Rep.",2018,category_3,0.155172413793103,0.149087221095335,0.0919976970649032,0.103448275862069,0.206896551724138,0.0288506773910063,100,21.3820768862683,535.290259101345,1.88129548815397,57.5422822550031
EGY,"Egypt, Arab Rep.",2019,category_3,0.189655172413793,0.179513184584179,0.104092419267169,0.103448275862069,0.275862068965517,0.0299293861738583,100,21.3777717529702,504.721963342653,1.71415246810639,57.5187972667352
